S/No,Title,ID_2,Doi
1,"Impacts of landscape structure on surface urban heat islands: A case study of Shanghai, China",A1,10.1016/j.rse.2011.07.008
2,Quantifying the multilevel effects of landscape composition and configuration on land surface temperature,A2,10.1016/j.rse.2016.02.063
3,"Quantifying landscape-metrics impacts on urban green-spaces and water-bodies cooling effect: The study of Nanjing, China",A3,10.1016/j.ufug.2020.126838
4,Complex mechanisms linking land surface temperature to greenspace spatial patterns: Evidence from four southeastern Chinese cities,A4,10.1016/j.scitotenv.2019.03.402
5,Effects of Green Space Patterns on Urban Thermal Environment at Multiple Spatial-Temporal Scales,A5,10.3390/su12176850
6,Multi-city comparison of the relationships between spatial pattern and cooling effect of urban green spaces in four major Asian cities,A6,10.1016/j.ecolind.2018.09.058
7,Application of a new integrated landscape index to predict potential urban heat islands,A7,10.1016/j.ecolind.2016.05.045
8,Efficiency of landscape metrics characterizing urban land surface temperature,A8,10.1016/j.landurbplan.2018.08.006
9,Effects of the spatial configuration of trees on urban heat mitigation: A comparative study,A9,10.1016/j.rse.2017.03.043
10,How many metrics are required to identify the effects of the landscape pattern on land surface temperature?,A10,10.1016/j.ecolind.2014.05.002
11,The impacts of landscape patterns spatio-temporal changes on land surface temperature from a multi-scale perspective: A case study of the Yangtze River Delta,A11,10.1016/j.scitotenv.2022.153381
12,Seasonal variations for combined effects of landscape metrics on land surface temperature (LST) and aerosol optical depth (AOD),A12,10.1016/j.ecolind.2022.108810
13,Effects of changing spatial extent on the relationship between urban forest patterns and land surface temperature,A13,10.1016/j.ecolind.2019.105778
14,Roles of horizontal and vertical tree canopy structure in mitigating daytime and nighttime urban heat island effects,A14,10.1016/j.jag.2020.102060
15,Effects of landscape composition and pattern on land surface temperature: An urban heat island study in the megacities of Southeast Asia,A15,10.1016/j.scitotenv.2016.10.195
16,The influence of the landscape pattern on the urban land surface temperature varies with the ratio of land components: Insights from 2D/3D building/vegetation metrics,A16,10.1016/j.scs.2021.103599
17,An alternative method of developing landscape strategies for urban cooling: A threshold-based perspective,A17,10.1016/j.landurbplan.2022.104449
18,The spatial patterns of land surface temperature and its impact factors: Spatial non-stationarity and scale effects based on a Geographically-Weighted regression model,A18,10.3390/su10072242
19,Discover the desirable landscape structure for mitigating urban heat: The urban-rural gradient approach for an ancient Chinese city,A19,10.1016/j.cities.2022.103737
20,"Quantifying Spatial-Temporal Pattern of Urban Heat Island in Beijing: An Improved Assessment Using Land Surface Temperature (LST) Time Series Observations from LANDSAT, MODIS, and Chinese New Satellite GaoFen-1",A20,10.1109/JSTARS.2015.2513598
21,"Exploring the impacts of greenspace spatial patterns on land surface temperature across different urban functional zones: A case study in Wuhan metropolitan area, China",A21,10.1016/j.ecolind.2022.109787
